"from","to"
"Day_of_Life","Enterobacter.roggenkampii.PTR"
"Day_of_Life","ARO.3004074MuxB"
"Birthweight","Klebsiella.aerogenes.abundance"
"Birthweight","ARO.3004111FosA6"
"Cefazolin","ARO.3001839ACT.18"
"Ampicillin","Veillonella.parvula.abundance"
"Ampicillin","ARO.3000186tetM"
"Meropenem","ARO.3000410sul1"
"Vancomycin","Enterobacter.sp..DKU_NT_01.abundance"
"Vancomycin","ARO.3003052smeB"
"Ticarcillin.Clavulanate","Klebsiella.quasipneumoniae.abundance"
"Ticarcillin.Clavulanate","Enterobacteriaceae.bacterium.S05.abundance"
"Ticarcillin.Clavulanate","Enterobacteriaceae.bacterium.S05.PTR"
"r_Meropenem","Enterococcus.faecalis.abundance"
"r_Meropenem","ARO.3000375ErmB"
"r_Meropenem","ARO.3000215mecR1"
"r_Cefotaxime","ARO.3001214mdtM"
"r_TOTAL","ARO.3003052smeB"
"r_TOTAL","ARO.3003056smeE"
"Human_Milk","ARO.3003046qacA"
"Maternal_Milk","ARO.3002819msrC"
"Maternal_Milk","ARO.3001327mdtK"
"Donor_Milk","Escherichia.coli.PTR"
"Donor_Milk","Enterobacter.roggenkampii.PTR"
"Donor_Milk","Klebsiella.quasipneumoniae.PTR"
"Donor_Milk","ARO.3000195tetB.P."
"Donor_Milk","ARO.3000347ErmA"
"Formula","Klebsiella.aerogenes.abundance"
"Fortification","Veillonella.parvula.PTR"
"Fortification","ARO.3003046qacA"
"Fortification","ARO.3004442tet.W.N.W."
"Fortification","ARO.3000190tetO"
"Vitamin_A","ARO.3002647APH.3...IIIa"
"Vitamin_A","ARO.3003209FosA5"
"Caffeine","ARO.3000616mel"
"Caffeine","ARO.3003209FosA5"
"Caffeine","ARO.3004480Bifidobacterium"
"Iron","ARO.3000195tetB.P."
"Furosemide_Lasix","ARO.3004611Escherichia"
"m_ampicillin","Bifidobacterium.longum.abundance"
"m_ampicillin","ARO.3000412sul2"
"m_ceftriaxone","Enterococcus.faecium.PTR"
"m_ceftriaxone","Citrobacter.freundii.PTR"
"m_ceftriaxone","Klebsiella.michiganensis.PTR"
"m_ceftriaxone","Klebsiella.oxytoca.abundance"
"m_ceftriaxone","ARO.3004611Escherichia"
"m_azithromycin","Klebsiella.pneumoniae.abundance"
"m_azithromycin","Bacteroides.fragilis.abundance"
"m_azithromycin","ARO.3000999TEM.135"
"m_azithromycin","ARO.3000412sul2"
"m_azithromycin","ARO.3003209FosA5"
"m_amoxicillin","Citrobacter.freundii.abundance"
"m_amoxicillin","Klebsiella.pneumoniae.abundance"
"m_cefazolin","ARO.3002804FosA2"
"m_cefazolin","ARO.3000410sul1"
"m_cefazolin","ARO.3001839ACT.18"
"m_cefazolin","ARO.3000596ErmX"
"m_erythromycin","Veillonella.parvula.abundance"
"m_gentamicin","ARO.3000375ErmB"
"m_gentamicin","ARO.3002641APH.3...Ia"
"m_gentamicin","ARO.3001847ACT.27"
"m_penicillin","Escherichia.coli.abundance"
"m_penicillin","Enterobacter.asburiae.abundance"
"m_penicillin","ARO.3003577ugd"
"m_vancomycin","Klebsiella.pneumoniae.abundance"
"m_clindamycin","ARO.3000186tetM"
"m_clindamycin","ARO.3000815mgrA"
"m_clindamycin","ARO.3003923oqxB"
"m_cefotaxime","ARO.3000616mel"
"m_cefotaxime","ARO.3000596ErmX"
"dur_membrane_rupture","Clostridium.perfringens.abundance"
"dur_membrane_rupture","ARO.3002641APH.3...Ia"
"dur_membrane_rupture","ARO.3004442tet.W.N.W."
"CRIB.II.Score","ARO.3001837ACT.15"
"CRIB.II.Score","ARO.3000191tetQ"
"Escherichia.coli.abundance","ARO.3004042Enterobacter"
"Klebsiella.aerogenes.PTR","ARO.3002985arnA"
"Enterococcus.faecium.abundance","Klebsiella.sp..M5al.abundance"
"Enterococcus.faecium.PTR","Enterococcus.faecium.abundance"
"Enterococcus.faecium.PTR","ARO.3002819msrC"
"Citrobacter.freundii.PTR","Citrobacter.freundii.abundance"
"Klebsiella.pneumoniae.PTR","ARO.3002985arnA"
"Klebsiella.variicola.abundance","ARO.3000190tetO"
"Klebsiella.variicola.PTR","Klebsiella.variicola.abundance"
"Enterobacter.cloacae.abundance","Enterobacter.hormaechei.abundance"
"Enterobacter.cloacae.abundance","Enterobacter.sp..DKU_NT_01.abundance"
"Bifidobacterium.longum.PTR","Bifidobacterium.longum.abundance"
"Bifidobacterium.longum.PTR","ARO.3003730Bifidobacteria"
"Bifidobacterium.longum.PTR","ARO.3001839ACT.18"
"Bifidobacterium.longum.PTR","ARO.3001214mdtM"
"Enterobacter.roggenkampii.abundance","ARO.3000616mel"
"Enterococcus.faecalis.PTR","Enterococcus.faecalis.abundance"
"Klebsiella.quasipneumoniae.abundance","Enterobacteriaceae.bacterium.S05.abundance"
"Klebsiella.quasipneumoniae.abundance","ARO.3002986bacA"
"Klebsiella.michiganensis.PTR","Klebsiella.michiganensis.abundance"
"Klebsiella.michiganensis.PTR","ARO.3003730Bifidobacteria"
